article_id,date,outlet,outlet_type,journalist_id,topic,frame_type,tone,slant,breaking,visuals,length_words,clicks,shares,comments,engagement_index,high_engagement
a_00001,2025-08-16,USA Today,legacy_mainstream,j_17_009,Climate,Strategy/Game,-0.149,-0.145,0,0,894,368,22,42,4.6483,0
a_00002,2025-12-12,Politico,digital_politics,j_09_019,Foreign Policy,Human Interest,0.429,-0.07,1,1,1127,987,120,40,5.6293,1
a_00003,2025-11-22,The Daily Beast,digital_politics,j_19_020,Education,Human Interest,-0.497,0.04,0,1,711,362,43,36,4.8046,0
a_00004,2025-10-15,BuzzFeed News,digital_viral,j_15_018,Elections,Economic Consequences,-0.245,-0.061,0,1,667,210,26,11,4.1617,0
a_00005,2025-10-14,Breitbart,partisan_right,j_13_001,Foreign Policy,Conflict,0.54,1.0,0,1,882,539,60,45,5.1448,1
a_00006,2025-12-27,New York Post,tabloid,j_18_002,Economy,Responsibility,0.026,0.366,0,0,747,387,37,22,4.6989,0
a_00007,2025-08-15,Axios,digital_politics,j_10_024,Climate,Thematic,-0.501,-0.053,0,1,941,272,19,15,4.258,0
a_00008,2025-11-29,The Daily Caller,partisan_right,j_14_012,Health,Economic Consequences,0.208,0.61,0,1,826,715,102,114,5.6262,1
a_00009,2025-09-04,NPR,public_media,j_05_009,Health,Morality,-0.447,-0.289,0,1,860,588,72,22,5.1034,1
a_00010,2025-08-17,The Daily Beast,digital_politics,j_19_010,Elections,Thematic,-0.161,0.015,0,0,830,532,44,50,5.0676,0
a_00011,2025-10-31,HuffPost,digital_viral,j_12_016,Immigration,Episodic,0.027,-0.533,0,1,803,659,91,116,5.5551,1
a_00012,2026-01-16,BuzzFeed News,digital_viral,j_15_015,Elections,Conflict,0.791,-0.256,0,0,614,401,49,42,4.9241,0
a_00013,2025-12-06,Politico,digital_politics,j_09_014,Crime,Responsibility,0.789,0.164,0,1,606,198,23,8,4.0395,0
a_00014,2025-12-10,USA Today,legacy_mainstream,j_17_008,Technology,Economic Consequences,0.281,0.256,0,1,1090,176,11,7,3.7494,0
a_00015,2025-12-03,The Washington Post,legacy_mainstream,j_01_010,Technology,Economic Consequences,-0.096,-0.7,0,0,1072,726,125,37,5.4729,1
a_00016,2025-12-14,The Wall Street Journal,legacy_mainstream,j_02_010,Politics,Economic Consequences,-0.578,0.544,0,1,979,414,36,33,4.8027,0
a_00017,2025-10-28,Axios,digital_politics,j_10_006,Economy,Responsibility,0.267,0.015,0,1,668,169,23,14,4.0629,0
a_00018,2025-08-23,The Daily Caller,partisan_right,j_14_015,Technology,Economic Consequences,0.391,0.079,0,0,783,366,37,14,4.5856,0
a_00019,2025-12-24,The Guardian,international,j_16_021,Politics,Human Interest,0.32,-1.0,1,1,1104,1064,126,51,5.7289,1
a_00020,2025-10-17,MSNBC,cable_news,j_08_003,Elections,Economic Consequences,0.289,-0.682,1,1,707,810,164,40,5.6236,1
a_00021,2025-10-26,HuffPost,digital_viral,j_12_001,Politics,Human Interest,-0.307,-0.205,0,1,622,363,59,25,4.8285,0
a_00022,2025-10-04,Vox,digital_explainer,j_11_004,Economy,Strategy/Game,0.092,-0.266,0,1,960,405,81,81,5.2065,1
a_00023,2025-09-01,The Daily Beast,digital_politics,j_19_027,Education,Morality,0.63,-0.042,0,0,646,236,36,11,4.3143,0
a_00024,2026-01-08,Breitbart,partisan_right,j_13_023,Politics,Human Interest,-0.375,0.513,0,1,600,776,121,35,5.4856,1
a_00025,2025-12-14,MSNBC,cable_news,j_08_007,Elections,Responsibility,-0.044,-0.577,0,0,673,349,25,15,4.4609,0
a_00026,2025-11-20,The Daily Beast,digital_politics,j_19_033,Education,Responsibility,0.183,-0.303,1,1,698,408,49,42,4.9327,0
a_00027,2025-10-09,The Wall Street Journal,legacy_mainstream,j_02_008,Politics,Conflict,0.321,0.208,0,0,912,178,22,13,4.0622,0
a_00028,2025-12-21,The Daily Beast,digital_politics,j_19_018,Immigration,Thematic,-0.305,-0.142,0,0,913,442,92,21,5.0248,0
a_00029,2025-11-03,Reuters,wire_service,j_03_034,Immigration,Thematic,0.508,-0.197,0,1,882,184,21,11,4.0345,0
a_00030,2025-10-16,NPR,public_media,j_05_002,Education,Responsibility,0.138,0.025,0,0,875,130,19,6,3.7255,0
a_00031,2025-10-17,The Guardian,international,j_16_005,Foreign Policy,Responsibility,0.035,-0.455,1,1,910,350,51,30,4.8026,0
a_00032,2025-09-09,The Daily Caller,partisan_right,j_14_016,Education,Strategy/Game,-0.244,0.333,0,1,656,658,134,187,5.7642,1
a_00033,2025-08-16,The Daily Beast,digital_politics,j_19_006,Climate,Morality,0.764,-0.336,0,0,814,178,23,17,4.1252,0
a_00034,2025-11-04,The Daily Caller,partisan_right,j_14_015,Health,Human Interest,-0.057,0.819,0,1,348,885,160,63,5.7496,1
a_00035,2026-01-01,HuffPost,digital_viral,j_12_004,Immigration,Human Interest,0.469,-0.233,0,1,701,249,19,13,4.1873,0
a_00036,2025-08-12,CNN,cable_news,j_06_004,Elections,Economic Consequences,0.518,-0.274,0,1,676,218,17,8,4.0011,0
a_00037,2025-12-27,The New York Times,legacy_mainstream,j_00_006,Climate,Episodic,-0.056,-0.018,0,0,1397,397,24,43,4.7157,0
a_00038,2025-12-22,The Wall Street Journal,legacy_mainstream,j_02_008,Immigration,Human Interest,-0.204,0.736,1,1,1142,2859,509,298,6.9897,1
a_00039,2025-09-17,NPR,public_media,j_05_005,Crime,Human Interest,0.684,-0.148,0,0,778,178,30,10,4.1035,0
a_00040,2025-11-18,The New York Times,legacy_mainstream,j_00_003,Education,Thematic,0.289,0.058,0,1,825,306,57,42,4.8338,0
a_00041,2025-08-29,Axios,digital_politics,j_10_027,Elections,Responsibility,-0.363,0.309,1,1,829,875,93,66,5.5916,1
a_00042,2025-12-10,BuzzFeed News,digital_viral,j_15_007,Politics,Responsibility,0.265,-0.201,1,0,499,229,25,25,4.3481,0
a_00043,2025-11-30,The Daily Beast,digital_politics,j_19_009,Economy,Economic Consequences,0.064,-0.193,0,0,437,188,24,16,4.1532,0
a_00044,2025-10-01,Politico,digital_politics,j_09_002,Technology,Human Interest,-0.46,-0.271,0,0,493,131,29,9,3.9223,0
a_00045,2025-08-12,USA Today,legacy_mainstream,j_17_011,Technology,Strategy/Game,0.179,-0.101,0,0,771,368,90,17,4.8867,0
a_00046,2026-01-15,The Daily Beast,digital_politics,j_19_007,Climate,Morality,-0.255,-0.357,0,1,421,714,128,49,5.5265,1
a_00047,2025-10-17,USA Today,legacy_mainstream,j_17_024,Politics,Economic Consequences,-0.09,-0.151,1,0,882,528,80,60,5.276,1
