primary,keywords,snippet,station,NationalNetwork,month,date,start_time,end_time,program_title,MarketName
American Indian,American Indian,"… charcoal and graphite and acrylic. the engine. that kind of runs my artistic endeavors comes love from my community. i have tons of support from my community, and that's what kind of kept me going to create a is because i feel like my community loves to see my work and i feel like they need to see my work and i feel like it is good medicine. for my people under hawke says she's been drawing before she was even able to write, and she hopes to take her art to the next level by attending the institute of american indian arts. it's just been an honor to be able to come in here and help help promote a young woman who's working in art , working her way through art school and is, um, is doing the deal was putting in the work. promoters of gallery 103 say they love to give passionate artists the chance to present themselves through their artwork and hope it will give other local art. artists inspiration. this is a reflection of kylie's voice as part of who she is, and it's exciting to see that brought to life, you know. so it's really cool. …",KTIV,NBC,Jan,2024-01-28,22:00:00,22:30:00,News 4 at Ten,"Sioux City, IA"
American Indian,American Indian,"… true that warmer temperatures are on the way -- or are these frigid conditions here to stay? wind chill advisories in along the hi-line and eastern boarder have expired, although the flood advisories for beaverhead and madison counties have been extended through monday due to ice jams creating flood conditions in low- drainage areas. highs today continue on a warming trend with highs in south central montana breaking the 30, 40, and 50 degree marks. wind chill advisories in along the hi-line and eastern boarder have expired, although the flood advisories for beaverhead and madison counties have been extended through monday due to ice jams creating flood conditions in low- drainage areas. highs today continue on a warming trend with highs in south central montana breaking the 30, 40, and 50 degree marks. a couple of american indian artists from montana are making big waves in hollywood. a couple of american indian artists from montana are making big waves in hollywood. our bradley warren joins us now to show us how they're breaking barriers in the worlds of fashion and entertainment. well, i spoke with elias jade notafraid. he just recently worked on a project with lily gladstone. he says for him -- it's really important to work with other native artists to uplift one another -- to help make their communities as strong as possible. they're making headlines not only here, domestically, but across the globe for their work. and the root of what elias is doing -- is protecting his …",KWYB,ABC,Jan,2024-01-20,22:00:00,22:35:00,NonStop LOCAL @ 10PM,"Butte, MT"
American Indian,American Indian,"… shelby fire department is reporting that late last night -- their crews responded to a structure fire in town. the blaze burned at the three-hundred block of main street... at the shelby nail spa. when crews arrived -- they battled that fire for several hours -- and managed to contain it to the spa building where it ignited. thankfully -- no injuries were reported. investigators determined that an electrical cord caused this accidental fire. fire-fighters are still asking the public to stay out of the building until an engineer can make sure that its still structurally sound. a couple of american indian artists from montana are making big waves in hollywood. our bradley warren joins us now to show us how they're breaking barriers in the worlds of fashion and entertainment. well, i spoke with elias jade notafraid. he just recently worked on a project with lily gladstone. he says for him -- it's really important to work with other native artists to uplift one another -- to help make their communities as strong as possible. they're making headlines not only here, domestically, but across the globe for their work. and the root of what elias is doing -- is protecting his …",KWYBDT2,FOX,Jan,2024-01-20,21:00:00,21:35:00,9:00 PM Local News,"Butte, MT"
American Indian,American Indian,"… madison counties have been extended through monday due to ice jams creating flood conditions in low- drainage areas. highs today continue on a warming trend with highs in south central montana breaking the 30, 40, and 50 degree marks. wind chill advisories in along the hi-line and eastern boarder have expired, although the flood advisories for beaverhead and madison counties have been extended through monday due to ice jams creating flood conditions in low- drainage areas. highs today continue on a warming trend with highs in south central montana breaking the 30, 40, and 50 degree marks. a couple of american indian artists from montana are making big waves in hollywood. our bradley warren joins us now to show us how they're breaking barriers in the worlds of fashion and entertainment. well, i spoke with elias jade notafraid. he just recently worked on a project with lily gladstone. he says for him -- it's really important to work with other native artists to uplift one another -- to help make their communities as strong as possible. they're making headlines not only here, domestically, but across the globe for their work. and the root of what elias is doing -- is protecting his …",KULR,NBC,Jan,2024-01-20,21:00:00,21:29:00,NonStop LOCAL @ 10PM,"Billings, MT"
American Indian,American Indian; Indigenous,"… looking to go to university in the fall, now is the time to start applying for college scholarships. the national scholarship providers association reports about $100 million dollars in scholarships that go unclaimed each acadec year. and for the average north dakotan student, many need tuition assistance. according to u-s news, north dakota is ranked number 22 when it comes to college affordability among the 50 states. and it's not just students. right now, high schools and the school districts themselves can apply for grants and scholarships from the federal government to fund their educational goals. sec. miguel cardona/u.s. dept. of education: ""we have grant winners from k-12 education. we have grant winners from higher education, and we even have grant winners from state departments of education. for north dakota students in our tribal nations, hundreds of scholarships in all areas of study are available for indigenous students with the american indian college fund. the college fund's scholarship season opens on february 1st. indigenous students attending tribal colleges and universities can receive additional scholarship support. when it comes to the local impact of a small economy, farmers markets are a great way to boost small business and area producers. and even though it's still winter, preparing now for the upcoming summer is important. when it comes to farmers markets like minot, they help out more than just ward county vendors. it's open to anyone that lives up to 100 miles away in either direction. local farm experts...like esther's acres... are also helping these farmers and others in our region try new agriculture practices through …",KXMC,CBS,Jan,2024-01-27,22:00:00,22:35:00,KX News at 10,"Minot, ND"
American Indian,American Indian; Indigenous; Native American,"… morning a heavy winter coat needed for those church services will climb up into the mid to upper fifties on the start of a really nice weather pattern that is going to be setting up for this week. sunny skies, light winds, temperatures climbing up into maybe the mid to upper sixties for high temperatures as we go into the first half of this next upcoming workweek. i'll talk more about that coming up in just a little bit brianna. some exhibits the museum of art in cleveland are covered up. it's because of an updated federal law about how native american artifacts can be displayed. the dean abu saleh takes a closer look at the rules and how the museum complying. >> the cleveland museum of art brings in people far and wide. >> but today not all are on display. >> nagpur has been in action. it's been a law since since 1990. but what's happening now is new protocols are being put in place. >> the museum put in a statement concealing the native american display is in direct response the updated 1990 native american graves protect and repatriation act. in other words, nagpur writing the following out of respect for the native american tribes in nagpur, the cma has covered the display cases that contain items that might fit the new nagpur definitions. until the appropriate determinations can be made and if necessary consents. nagoro was created in 1990 in order to protect a return items to native americans. the provision now requires museums and federal agencies to obtain consent of lineal descendants indian tribes or native hawaiian organizations to display cultural items. >> basically there could have been a fire under some particular museums murray toledo, wood lake geary's native american council was pleased to see the response. it is enough right now. yes, there are many museums that have not even done that much so far adding that it's painful to see artifact and pieces of native american history on display. knowing how was secured it wasn't just given some cheyenne woman didn't make dress and say here you go you know those were gotten in are really really violent genocidal manner filipino with the american indian movement of ohio feels the same way it hurts it's you know it's like for me i feel like our ancestors aren't being respected are. >> burial sites aren't being respected. but he's still happy to see they are moving in the right direction. him and marie just want their indigenous people to have a say in the pieces of their history. >> i hope that it continues evolve and that we can tend to just museums, listen to the people and give the people their voice and return our relatives. >> police in wichita, kansas asking for help to locate a stolen statue of jackie robinson from a league 42 park. pictures shared by the police department show the life sized statue was cut off at the ankles and hauled away. the nonprofit organization league 42 provides low cost baseball registration for kids and had raised $50,000 for the statue …",KTEN,NBC,Jan,2024-01-27,22:00:00,22:29:00,KTEN News at 10 Weekend,"Sherman, TX"
American Indian,American Indian; Native American,"… out. daniel of forage lives lockwood but was born and raised in lodge grass on the crow reservation. his father, alex laforte senior was an original member of the crow. all american basketball team which traveled all over the country, even playing at madison square garden. now daniels playing basketball in his own children are following their family's footsteps. i've got 4 boys, 3 of them did that. my second oldest was actually one of the top scores the nation in juco at little bit going college. the understanding of different cultures and everything is very important. the montana high school association wants that passion more front and center on monday. the group discussed a new proposal to add a new 8 board members that would be filled by a native american representative the vote past. we're really committed to. >> to bringing forth. a voice, an opportunity for the native american groups to be heard across the state of montana. all to level the playing field. we have the opportunity to go over to the american indian caucus last year at the state legislature, whenever some of the different challenges and issues that go along with native american bridge is a patient our sports and activities in the state of montana. obviously it's a huge issue. now, the search begins for the right fit. a vote will be held at the annual images say board meeting in billions in 2025 to elect the board member. they have to be from a native american school. they have to be a native american and they have to be what the superintendent, the principal or the activities director at that particular school in the meantime, native athletes like laforte are celebrating the move being able to add a voice right now at the table with being included. >> this this board that oversees quite a bit the state, but it's a big step forward and we really appreciate we hope it goes forward in a good way in billions. kelsey boggs mtn news. >> i will. good evening, everyone. we have a lot to get into winter storm warnings. winter storm watch is in …",KPAX,CBS,Jan,2024-01-15,22:00:00,22:35:00,KPAX 10:00 News,"Missoula, MT"
American Indian,American Indian; Native American,"… we've been around out. daniel, a four-inch lifts in lockwood but was born and raised in lodge grass on the crow reservation. his father alex laforte senior was an original member of the crow. all american basketball team which traveled all over the country even playing at madison square garden. now, daniels playing basketball in his own children are following their family's footsteps. i've got 4 boys. 3 of them my second oldest was actually one of the top scores the nation in article at little in college. the understanding of different cultures and everything is very important. the montana high school association wants that passion more frnt and center on monday. the group discussed a new proposal to add a new 8 board members that would be filled by a native american representative. the vote passed. we're really committed to. >> bringing forth. a voice, an opportunity for the native american groups to be heard across the state of montana, all to level the playing field. we have the opportunity to go over to the american indian caucus last year at the state legislature. whenever some of the different challenges and issues that go along with native american bridge is a patient our sports and activities in the state of montana. obviously, it's a huge issue. now. the search begins for the right fit. a vote will be held at the annual and they just say board meeting in billions in 2025. to elect the board member. they have to be from a native american school. they have to be a native american and they have to be what the superintendent, the principal or the activities director at that particular school. in the meantime, native athletes like laforte are celebrating the move, being able to add a voice right now at the table with being included. >> this this board that oversees quite a bit in the state, but it's a big step forward. we really appreciate we hope it goes forward in a good way in billions. kelsey boggs, mtn news. >> the mtn 10 o'clock news continues right after this. >> and it's here with one last look at whether you …",KXGN,CBS,Jan,2024-01-15,22:00:00,22:35:00,KTVQ 10:00 News,"Glendive, MT"
American Indian,American Indian,"… was found dead today inside his rig. it was parked on lucas lane near the love's travel stop in east nashville. police say 37-year- old david white was last seen inside love's yesterday buying food. right now there's no word on any possible suspects. tonight...authoriti es are trying to identify the body of a man who was found in a storm culvert. the man was discovered friday behind the west nashville police precinct. police say he had been there for several days. an exact cause of death has not been determined. and police say the man is of asian or american indian descent. with tattoos including a floral design sleeve on his left arm, an octopus on his left thigh and a clown face on his shin. new tonight.. a second person is now facing charges after police say a woman was killed by her husband in nashville. 76-year-old jackie glenn was reported missing on new years day..but metro police say her husband later confessed to attacking her with a hammer and disposing her body in dekalb county tennessee. investigators are still trying to determine a motive, which has left those who knew the couple in disbelief. 12:33:29 +12:34:03 ""it's the classic …",WSMV,NBC,Jan,2024-01-08,22:00:00,22:35:00,News 4 at 10p,"Nashville, TN"
American Indian,American Indian,"… to keep their doors open >> imagine living at several different sober living homes across the valley for arlan upshaw, that was reality. felt devalued and says she noticed a common theme no one was sober. >> all of us were getting drunk. all of us were getting high. so when they tested us, there was no way they were going to kick us all out. >> a ticket off the streets for me. >> joshua smith experienced the same. it's all part of a scam free housing, food and medical care as long as one was enrolled in the american indian health plan and people have been paid to go to programs >> times people have been driven by the program to the liquor store. you. know, they drank with boots and managers of the household >> the scheme cost arizona nearly $1 billion in fraud. the state's medicaid agency access finally cracked down last year, suspending payments to more than 300 providers off funding and shutting down homes so many displaced they're getting dumped in the middle of the city with a worse habit or another habit. >> you know on top of what they've already been doing and palms …",KSAZ,FOX,Jan,2024-01-12,21:00:00,22:00:00,FOX 10 News @ 9pm,"Phoenix, AZ"
