from,to
1,25
1,32
1,38
1,45
1,51
2,6
2,11
2,18
2,27
2,28
2,42
2,43
3,14
3,20
3,25
3,33
3,35
3,38
3,41
3,48
3,60
4,21
4,22
4,24
4,25
4,40
4,42
4,55
4,57
5,25
5,27
5,41
5,48
5,49
6,7
6,12
6,16
6,25
6,35
6,48
6,54
7,18
8,22
9,10
9,27
9,53
9,57
10,18
10,22
10,27
10,28
10,31
10,33
10,39
10,40
10,42
10,58
12,16
12,42
12,45
13,35
13,38
14,23
14,26
14,35
14,36
14,38
14,40
14,43
14,48
14,52
14,56
14,58
15,28
15,35
15,37
15,38
15,40
15,58
16,49
16,57
17,57
18,34
18,44
19,39
19,46
19,50
19,54
19,57
20,22
20,31
20,43
21,22
21,28
21,43
21,49
21,55
21,60
22,33
22,34
22,41
22,42
22,43
22,58
23,39
24,25
24,33
24,58
25,27
25,32
25,35
25,46
25,48
25,50
26,33
27,31
27,37
27,47
27,57
27,58
28,29
28,38
28,43
28,54
28,60
29,57
30,44
31,39
31,44
31,45
31,58
32,45
33,36
33,38
33,40
33,46
33,51
33,58
34,40
34,41
34,44
34,59
35,42
35,46
35,48
35,50
35,58
36,38
36,40
36,51
36,52
36,53
36,55
37,46
37,47
37,48
37,58
38,40
38,48
38,50
38,55
38,60
39,52
39,54
40,42
40,45
40,46
40,47
40,53
40,54
40,56
41,44
41,48
41,49
41,59
42,45
42,58
44,45
44,49
44,58
45,47
45,57
46,47
46,52
46,58
47,48
47,49
47,54
47,56
48,57
51,57
52,56
53,57
54,57
