id,party,gender,age,outgoingness
1,Democrat,Woman,59,4
2,Republican,Man,49,1
3,Democrat,Man,56,3
4,Democrat,Man,68,5
5,Republican,Man,46,3
6,Democrat,Man,51,4
7,Democrat,Man,27,2
8,Democrat,Woman,18,1
9,Republican,Man,60,4
10,Republican,Man,43,7
11,Democrat,Man,32,1
12,Democrat,Man,75,4
13,Democrat,Woman,46,2
14,Democrat,Woman,41,5
15,Democrat,Woman,59,2
16,Republican,Man,65,2
17,Republican,Man,70,2
18,Republican,Woman,29,3
19,Republican,Woman,56,1
20,Democrat,Man,41,2
21,Democrat,Man,70,3
22,Democrat,Man,45,7
23,Democrat,Woman,39,3
24,Democrat,Woman,57,3
25,Democrat,Woman,50,6
26,Democrat,Man,36,3
27,Republican,Woman,43,5
28,Democrat,Man,52,3
29,Democrat,Woman,60,1
30,Republican,Man,18,2
31,Republican,Woman,46,4
32,Republican,Woman,31,2
33,Democrat,Man,39,2
34,Republican,Man,23,7
35,Democrat,Woman,45,4
36,Democrat,Woman,69,5
37,Republican,Woman,58,1
38,Democrat,Man,54,5
39,Republican,Man,63,7
40,Republican,Woman,66,7
41,Republican,Man,20,5
42,Republican,Man,39,5
43,Democrat,Man,52,4
44,Republican,Woman,24,6
45,Republican,Woman,63,6
46,Republican,Woman,52,4
47,Republican,Woman,68,6
48,Republican,Man,61,4
49,Democrat,Woman,66,7
50,Democrat,Woman,58,2
51,Republican,Woman,67,1
52,Democrat,Woman,73,3
53,Republican,Woman,71,1
54,Republican,Man,66,6
55,Democrat,Man,67,1
56,Democrat,Man,72,4
57,Republican,Man,64,7
58,Republican,Woman,44,5
59,Republican,Man,24,1
60,Democrat,Man,64,3
