"UserID","day_nr","Gender","Alc_Freq","condition"
17,NA,NA,NA,"NA/NA"
43,NA,NA,NA,"NA/NA"
44,NA,NA,NA,"NA/NA"
52,NA,NA,NA,"NA/NA"
93,NA,NA,NA,"NA/NA"
94,NA,NA,NA,"NA/NA"
95,NA,NA,NA,"NA/NA"
96,NA,NA,NA,"NA/NA"
97,NA,NA,NA,"NA/NA"
98,NA,NA,NA,"NA/NA"
99,NA,NA,NA,"NA/NA"
100,NA,NA,NA,"NA/NA"
101,NA,NA,NA,"NA/NA"
102,NA,NA,NA,"NA/NA"
104,NA,NA,NA,"NA/NA"
105,NA,NA,NA,"NA/NA"
106,1,"1",NA,"Negative/Social"
106,2,"1",NA,"Negative/Social"
106,3,"1",NA,"Negative/Social"
106,4,"1",NA,"Negative/Social"
106,5,"1",1,"Negative/Social"
106,6,"1",6,"Negative/Social"
106,9,"1",3,"Negative/Social"
106,10,"1",NA,"Negative/Social"
106,11,"1",NA,"Negative/Social"
106,11,"1",NA,"Negative/Social"
106,12,"1",3,"Negative/Social"
106,12,"1",3,"Negative/Social"
106,13,"1",NA,"Negative/Social"
106,14,"1",NA,"Negative/Social"
106,15,"1",NA,"Negative/Social"
106,16,"1",NA,"Negative/Social"
106,17,"1",NA,"Negative/Social"
106,18,"1",9,"Negative/Social"
106,19,"1",NA,"Negative/Social"
106,20,"1",NA,"Negative/Social"
106,21,"1",NA,"Negative/Social"
106,22,"1",NA,"Negative/Social"
106,23,"1",NA,"Negative/Social"
106,24,"1",NA,"Negative/Social"
106,25,"1",NA,"Negative/Social"
106,26,"1",NA,"Negative/Social"
106,29,"1",NA,"Negative/Social"
106,30,"1",NA,"Negative/Social"
106,31,"1",NA,"Negative/Social"
106,33,"1",NA,"Negative/Social"
106,34,"1",NA,"Negative/Social"
106,35,"1",NA,"Negative/Social"
106,36,"1",NA,"Negative/Social"
106,37,"1",NA,"Negative/Social"
106,38,"1",5,"Negative/Social"
106,39,"1",1,"Negative/Social"
106,40,"1",1,"Negative/Social"
106,41,"1",5,"Negative/Social"
106,42,"1",NA,"Negative/Social"
106,43,"1",NA,"Negative/Social"
107,1,"1",NA,"Negative/Social"
107,2,"1",10,"Negative/Social"
107,3,"1",NA,"Negative/Social"
107,4,"1",1,"Negative/Social"
107,5,"1",2,"Negative/Social"
107,6,"1",2,"Negative/Social"
107,7,"1",NA,"Negative/Social"
107,8,"1",10,"Negative/Social"
107,9,"1",NA,"Negative/Social"
107,10,"1",NA,"Negative/Social"
107,10,"1",10,"Negative/Social"
107,11,"1",7,"Negative/Social"
107,12,"1",1,"Negative/Social"
107,13,"1",1,"Negative/Social"
107,13,"1",1,"Negative/Social"
107,14,"1",NA,"Negative/Social"
107,15,"1",2,"Negative/Social"
107,16,"1",NA,"Negative/Social"
107,17,"1",10,"Negative/Social"
107,18,"1",4,"Negative/Social"
107,19,"1",2,"Negative/Social"
107,20,"1",2,"Negative/Social"
107,21,"1",NA,"Negative/Social"
107,22,"1",NA,"Negative/Social"
107,23,"1",NA,"Negative/Social"
107,24,"1",2,"Negative/Social"
107,25,"1",1,"Negative/Social"
107,26,"1",NA,"Negative/Social"
107,27,"1",NA,"Negative/Social"
107,28,"1",5,"Negative/Social"
107,30,"1",NA,"Negative/Social"
107,31,"1",1,"Negative/Social"
107,32,"1",3,"Negative/Social"
107,33,"1",0,"Negative/Social"
107,34,"1",4,"Negative/Social"
107,35,"1",1,"Negative/Social"
107,36,"1",6,"Negative/Social"
107,37,"1",2,"Negative/Social"
107,38,"1",6,"Negative/Social"
107,39,"1",12,"Negative/Social"
107,39,"1",12,"Negative/Social"
107,40,"1",1,"Negative/Social"
107,41,"1",7,"Negative/Social"
107,42,"1",14,"Negative/Social"
107,43,"1",2,"Negative/Social"
108,1,"1",NA,"Negative/Social"
108,2,"1",10,"Negative/Social"
108,3,"1",NA,"Negative/Social"
108,4,"1",12,"Negative/Social"
108,5,"1",8,"Negative/Social"
108,6,"1",1,"Negative/Social"
108,7,"1",1,"Negative/Social"
108,8,"1",6,"Negative/Social"
108,9,"1",NA,"Negative/Social"
108,10,"1",NA,"Negative/Social"
108,11,"1",10,"Negative/Social"
108,12,"1",NA,"Negative/Social"
108,13,"1",NA,"Negative/Social"
108,14,"1",NA,"Negative/Social"
108,15,"1",NA,"Negative/Social"
108,16,"1",NA,"Negative/Social"
108,17,"1",NA,"Negative/Social"
108,18,"1",NA,"Negative/Social"
108,19,"1",NA,"Negative/Social"
108,20,"1",1,"Negative/Social"
108,21,"1",1,"Negative/Social"
108,22,"1",NA,"Negative/Social"
108,23,"1",3,"Negative/Social"
108,24,"1",4,"Negative/Social"
108,25,"1",1,"Negative/Social"
108,26,"1",2,"Negative/Social"
108,27,"1",2,"Negative/Social"
108,28,"1",NA,"Negative/Social"
108,29,"1",2,"Negative/Social"
108,30,"1",NA,"Negative/Social"
108,31,"1",3,"Negative/Social"
108,32,"1",3,"Negative/Social"
108,33,"1",2,"Negative/Social"
108,34,"1",NA,"Negative/Social"
108,35,"1",5,"Negative/Social"
108,35,"1",4,"Negative/Social"
108,36,"1",8,"Negative/Social"
108,38,"1",8,"Negative/Social"
108,39,"1",NA,"Negative/Social"
108,40,"1",1,"Negative/Social"
108,41,"1",NA,"Negative/Social"
108,42,"1",NA,"Negative/Social"
108,43,"1",NA,"Negative/Social"
110,1,"1",NA,"Negative/Social"
110,2,"1",NA,"Negative/Social"
110,3,"1",NA,"Negative/Social"
110,4,"1",NA,"Negative/Social"
110,5,"1",NA,"Negative/Social"
110,6,"1",NA,"Negative/Social"
110,7,"1",NA,"Negative/Social"
110,8,"1",NA,"Negative/Social"
110,9,"1",NA,"Negative/Social"
110,10,"1",NA,"Negative/Social"
110,11,"1",3,"Negative/Social"
110,12,"1",NA,"Negative/Social"
110,13,"1",NA,"Negative/Social"
110,14,"1",NA,"Negative/Social"
110,15,"1",NA,"Negative/Social"
110,16,"1",NA,"Negative/Social"
110,17,"1",NA,"Negative/Social"
110,18,"1",NA,"Negative/Social"
110,19,"1",NA,"Negative/Social"
110,20,"1",NA,"Negative/Social"
110,22,"1",NA,"Negative/Social"
110,23,"1",3,"Negative/Social"
110,24,"1",NA,"Negative/Social"
110,25,"1",6,"Negative/Social"
110,26,"1",NA,"Negative/Social"
110,27,"1",NA,"Negative/Social"
110,28,"1",NA,"Negative/Social"
110,29,"1",NA,"Negative/Social"
110,30,"1",NA,"Negative/Social"
110,31,"1",NA,"Negative/Social"
110,32,"1",NA,"Negative/Social"
110,33,"1",NA,"Negative/Social"
110,34,"1",NA,"Negative/Social"
110,35,"1",NA,"Negative/Social"
110,36,"1",NA,"Negative/Social"
110,37,"1",2,"Negative/Social"
110,38,"1",1,"Negative/Social"
110,38,"1",NA,"Negative/Social"
110,39,"1",NA,"Negative/Social"
110,40,"1",NA,"Negative/Social"
110,41,"1",NA,"Negative/Social"
110,42,"1",NA,"Negative/Social"
110,43,"1",NA,"Negative/Social"
111,1,"1",NA,"Negative/Social"
111,2,"1",NA,"Negative/Social"
111,3,"1",3,"Negative/Social"
111,4,"1",7,"Negative/Social"
111,5,"1",15,"Negative/Social"
111,6,"1",5,"Negative/Social"
111,7,"1",NA,"Negative/Social"
111,8,"1",5,"Negative/Social"
111,9,"1",NA,"Negative/Social"
111,10,"1",2,"Negative/Social"
111,11,"1",5,"Negative/Social"
111,12,"1",2,"Negative/Social"
111,13,"1",NA,"Negative/Social"
111,14,"1",NA,"Negative/Social"
111,15,"1",NA,"Negative/Social"
111,16,"1",2,"Negative/Social"
111,17,"1",15,"Negative/Social"
111,18,"1",8,"Negative/Social"
111,19,"1",2,"Negative/Social"
111,20,"1",6,"Negative/Social"
111,21,"1",NA,"Negative/Social"
111,22,"1",NA,"Negative/Social"
111,23,"1",NA,"Negative/Social"
111,25,"1",4,"Negative/Social"
111,26,"1",20,"Negative/Social"
111,27,"1",NA,"Negative/Social"
111,28,"1",NA,"Negative/Social"
111,31,"1",2,"Negative/Social"
111,32,"1",6,"Negative/Social"
111,33,"1",10,"Negative/Social"
111,33,"1",NA,"Negative/Social"
111,36,"1",NA,"Negative/Social"
111,37,"1",1,"Negative/Social"
111,38,"1",10,"Negative/Social"
111,39,"1",3,"Negative/Social"
111,41,"1",5,"Negative/Social"
111,43,"1",1,"Negative/Social"
112,1,"2",5,"Negative/Non-Social"
112,2,"2",6,"Negative/Non-Social"
112,3,"2",10,"Negative/Non-Social"
112,4,"2",8,"Negative/Non-Social"
112,5,"2",NA,"Negative/Non-Social"
112,7,"2",3,"Negative/Non-Social"
112,8,"2",4,"Negative/Non-Social"
112,9,"2",4,"Negative/Non-Social"
112,10,"2",NA,"Negative/Non-Social"
112,11,"2",NA,"Negative/Non-Social"
112,12,"2",5,"Negative/Non-Social"
112,13,"2",NA,"Negative/Non-Social"
112,14,"2",5,"Negative/Non-Social"
112,15,"2",NA,"Negative/Non-Social"
112,16,"2",NA,"Negative/Non-Social"
112,18,"2",7,"Negative/Non-Social"
112,21,"2",NA,"Negative/Non-Social"
112,22,"2",NA,"Negative/Non-Social"
112,24,"2",10,"Negative/Non-Social"
112,26,"2",2,"Negative/Non-Social"
112,29,"2",4,"Negative/Non-Social"
112,30,"2",3,"Negative/Non-Social"
112,31,"2",NA,"Negative/Non-Social"
112,32,"2",NA,"Negative/Non-Social"
112,33,"2",3,"Negative/Non-Social"
112,35,"2",3,"Negative/Non-Social"
112,36,"2",NA,"Negative/Non-Social"
112,38,"2",NA,"Negative/Non-Social"
112,39,"2",3,"Negative/Non-Social"
112,40,"2",4,"Negative/Non-Social"
112,41,"2",NA,"Negative/Non-Social"
112,43,"2",NA,"Negative/Non-Social"
114,1,"2",NA,"Negative/Non-Social"
114,2,"2",NA,"Negative/Non-Social"
114,3,"2",NA,"Negative/Non-Social"
114,4,"2",NA,"Negative/Non-Social"
114,6,"2",NA,"Negative/Non-Social"
114,8,"2",NA,"Negative/Non-Social"
114,9,"2",NA,"Negative/Non-Social"
114,10,"2",3,"Negative/Non-Social"
114,11,"2",NA,"Negative/Non-Social"
114,12,"2",NA,"Negative/Non-Social"
114,13,"2",NA,"Negative/Non-Social"
114,14,"2",NA,"Negative/Non-Social"
114,15,"2",NA,"Negative/Non-Social"
114,16,"2",NA,"Negative/Non-Social"
114,17,"2",9,"Negative/Non-Social"
114,18,"2",8,"Negative/Non-Social"
114,20,"2",NA,"Negative/Non-Social"
114,21,"2",NA,"Negative/Non-Social"
114,22,"2",NA,"Negative/Non-Social"
114,23,"2",NA,"Negative/Non-Social"
114,24,"2",NA,"Negative/Non-Social"
114,26,"2",6,"Negative/Non-Social"
114,27,"2",NA,"Negative/Non-Social"
114,28,"2",NA,"Negative/Non-Social"
114,29,"2",NA,"Negative/Non-Social"
114,30,"2",NA,"Negative/Non-Social"
114,31,"2",NA,"Negative/Non-Social"
114,32,"2",NA,"Negative/Non-Social"
114,34,"2",NA,"Negative/Non-Social"
114,35,"2",NA,"Negative/Non-Social"
114,36,"2",NA,"Negative/Non-Social"
114,37,"2",NA,"Negative/Non-Social"
114,38,"2",NA,"Negative/Non-Social"
114,39,"2",1,"Negative/Non-Social"
114,40,"2",8,"Negative/Non-Social"
114,42,"2",NA,"Negative/Non-Social"
114,43,"2",NA,"Negative/Non-Social"
115,1,"2",NA,"Negative/Non-Social"
115,1,"2",NA,"Negative/Non-Social"
115,2,"2",NA,"Negative/Non-Social"
115,3,"2",NA,"Negative/Non-Social"
115,4,"2",NA,"Negative/Non-Social"
115,5,"2",NA,"Negative/Non-Social"
115,6,"2",NA,"Negative/Non-Social"
115,7,"2",NA,"Negative/Non-Social"
115,7,"2",1,"Negative/Non-Social"
115,9,"2",NA,"Negative/Non-Social"
115,9,"2",NA,"Negative/Non-Social"
115,10,"2",NA,"Negative/Non-Social"
115,10,"2",NA,"Negative/Non-Social"
115,11,"2",NA,"Negative/Non-Social"
115,11,"2",NA,"Negative/Non-Social"
115,12,"2",2,"Negative/Non-Social"
115,12,"2",NA,"Negative/Non-Social"
115,13,"2",NA,"Negative/Non-Social"
115,15,"2",NA,"Negative/Non-Social"
115,15,"2",NA,"Negative/Non-Social"
115,16,"2",NA,"Negative/Non-Social"
115,17,"2",NA,"Negative/Non-Social"
115,18,"2",NA,"Negative/Non-Social"
115,19,"2",1,"Negative/Non-Social"
115,20,"2",1,"Negative/Non-Social"
115,20,"2",NA,"Negative/Non-Social"
115,21,"2",NA,"Negative/Non-Social"
115,22,"2",NA,"Negative/Non-Social"
115,23,"2",NA,"Negative/Non-Social"
115,24,"2",NA,"Negative/Non-Social"
115,25,"2",NA,"Negative/Non-Social"
115,26,"2",4,"Negative/Non-Social"
115,27,"2",NA,"Negative/Non-Social"
115,27,"2",NA,"Negative/Non-Social"
115,28,"2",NA,"Negative/Non-Social"
115,29,"2",NA,"Negative/Non-Social"
115,31,"2",NA,"Negative/Non-Social"
115,32,"2",NA,"Negative/Non-Social"
115,33,"2",NA,"Negative/Non-Social"
115,34,"2",NA,"Negative/Non-Social"
115,35,"2",NA,"Negative/Non-Social"
115,37,"2",NA,"Negative/Non-Social"
